cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1915,1919,54,1969,1973,178.594764124232,NaN,16.95984284,214861227.8
1915,1919,55,1970,1974,219.204435258835,6.29499125606828,17.142174576,221297772.98
1915,1919,56,1971,1975,250.632616539029,27.7700064832969,17.36496771,230232310.76
1915,1919,57,1972,1976,233.604818251642,18.8134669779206,16.946324852,213915913.76
1915,1919,58,1973,1977,251.017826468423,21.5864195716455,17.113982798,220088423.06
1915,1919,59,1974,1978,234.806413404654,12.0597157766149,17.17528981,222549301.22
1915,1919,60,1975,1979,266.130632660588,12.0449956436371,17.432670924,232896101.5
1915,1919,61,1976,1980,249.181943498305,10.800656099121,17.536052116,237436565.16
1915,1919,62,1977,1981,265.223242789199,9.91992479426779,17.76754236,245968139.38
1915,1919,63,1978,1982,272.073662571632,20.0482037380323,17.536839924,237632071.74
1915,1919,64,1979,1983,295.440248519172,9.19138074678395,17.345405328,230229323.96
1915,1919,65,1980,1984,325.02267739326,23.570849485931,17.005446238,216878700.2
1915,1919,66,1981,1985,318.380598956678,30.4770946765535,17.17379289,224832511.32
1915,1919,67,1982,1986,350.564287244943,43.1751946491033,17.083952384,221381173.58
1915,1919,68,1983,1987,392.454589187128,26.9270840899191,17.497753612,237182714.24
1915,1919,69,1984,1988,398.420654181529,27.4864791672864,18.161251472,266561938.86
1915,1919,70,1985,1989,430.821695828812,23.0808423607385,18.713750074,289640724.12
1915,1919,71,1986,1990,446.781159817451,20.1562528007963,18.664234,287227783.84
1915,1919,72,1987,1991,483.870257410878,20.0437902042571,18.778922956,291665916.48
1915,1919,73,1988,1992,456.065454198461,19.4212587688897,18.549308538,282425767.36
1915,1919,74,1989,1993,462.746433871344,28.3059514160673,17.970384306,256215321.58
1915,1919,75,1990,1994,461.26342014641,26.9202261382104,17.5746001,238965499.4
1915,1919,76,1991,1995,489.83770598017,32.8502633760287,17.158282484,221036700.56
1915,1919,77,1992,1996,490.699543575398,19.5025011103406,17.077518564,217880569.14
1915,1919,78,1993,1997,460.729601477258,41.0753268663051,16.96100927,213645071.3
1915,1919,79,1994,1998,467.359464501539,23.3064871716299,16.773208962,206820467.62
1915,1919,80,1995,1999,474.415362745119,24.9205920719575,16.447651658,195303713.18
1915,1919,81,1996,2000,469.359460615625,27.3493047358613,16.550520314,199354433.02
1915,1919,82,1997,2001,471.931119604166,26.6576545512484,16.659467058,203646901.54
1915,1919,83,1998,2002,469.41645585237,7.94080816302482,16.923166544,213665828.06
1915,1919,84,1999,2003,434.073199245922,37.9855600914943,17.240202764,225644131.1
