cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1915,1919,54,1969,1973,63.1615629219846,NaN,48.66390769,386153000000
1915,1919,55,1970,1974,67.1261354547554,17.5533436721584,48.360970812,379036600000
1915,1919,56,1971,1975,70.603755862682,4.70866853207405,48.126275082,373721800000
1915,1919,57,1972,1976,94.1387426123363,5.57595398911901,47.813857592,366573400000
1915,1919,58,1973,1977,98.7354409639346,10.2379914950354,47.519670906,359652400000
1915,1919,59,1974,1978,101.04079745613,10.0210027006902,47.460037856,358248200000
1915,1919,60,1975,1979,109.629623730529,5.31721678975923,47.429511798,357555600000
1915,1919,61,1976,1980,117.771929277806,12.1578287474465,47.966926028,370119200000
1915,1919,62,1977,1981,132.367512952839,15.6446483619661,48.251535038,376612200000
1915,1919,63,1978,1982,139.56632357693,3.39230899590994,47.77232752,366219800000
1915,1919,64,1979,1983,143.872765824334,16.2670671578442,47.731868118,365276800000
1915,1919,65,1980,1984,161.888470629373,16.2640760690675,47.288606972,355714200000
1915,1919,66,1981,1985,175.56180032886,13.3044768417175,46.644081994,340811800000
1915,1919,67,1982,1986,189.084914128292,19.1357543765019,46.700362056,342142000000
1915,1919,68,1983,1987,194.871610971457,14.1102898608385,46.678794894,341699200000
1915,1919,69,1984,1988,210.365489436368,25.4352750523609,46.234254792,331852600000
1915,1919,70,1985,1989,223.000043513884,21.488398722704,46.431730056,336000000000
1915,1919,71,1986,1990,231.598177701221,17.3994541797076,46.359906954,334461600000
1915,1919,72,1987,1991,226.000342087352,22.4834023951062,45.875123548,323501800000
1915,1919,73,1988,1992,252.749567158287,13.7446382689388,46.044892504,327044400000
1915,1919,74,1989,1993,275.903211594921,27.0217152008543,46.106305406,328349600000
1915,1919,75,1990,1994,273.239306046742,21.8341866105558,46.077875276,327741400000
1915,1919,76,1991,1995,278.160547149569,25.4593973195725,46.094565726,328096800000
1915,1919,77,1992,1996,295.126876460697,4.72849616617688,46.001361758,326116600000
1915,1919,78,1993,1997,305.106091588324,19.5814173526838,45.86179507,323194600000
1915,1919,79,1994,1998,310.823943106942,27.9801964240673,45.632426582,318408600000
1915,1919,80,1995,1999,341.9981134169,23.7329309854977,45.372997572,313030400000
1915,1919,81,1996,2000,352.76117637366,14.485382552305,45.084492116,307067400000
1915,1919,82,1997,2001,349.795364728269,34.6424043606836,44.770214606,300682200000
1915,1919,83,1998,2002,368.857900289153,16.0067598832709,44.500611992,295287600000
1915,1919,84,1999,2003,363.210082306871,18.2561168030545,44.093590868,287376200000
1915,1919,85,2000,2004,59.9177589259769,3.96666721043329,43.462290928,275536600000
1920,1924,49,1969,1973,36.1889060897887,NaN,48.66390769,386153000000
1920,1924,50,1970,1974,36.0193348757526,1.24597041264271,48.360970812,379036600000
1920,1924,51,1971,1975,39.7463324472735,5.93554911188152,48.126275082,373721800000
1920,1924,52,1972,1976,48.1521950128972,6.18103265767401,47.813857592,366573400000
1920,1924,53,1973,1977,55.4912379515814,5.36606817183563,47.519670906,359652400000
1920,1924,54,1974,1978,63.8214794802259,5.23376841018578,47.460037856,358248200000
1920,1924,55,1975,1979,65.9960593175725,9.24428178598029,47.429511798,357555600000
1920,1924,56,1976,1980,82.6922671301222,5.19098410362547,47.966926028,370119200000
1920,1924,57,1977,1981,83.345563036417,3.64024301659761,48.251535038,376612200000
1920,1924,58,1978,1982,90.538926355669,8.59920865793482,47.77232752,366219800000
1920,1924,59,1979,1983,99.6679548430688,6.13749604104576,47.731868118,365276800000
1920,1924,60,1980,1984,105.77095638791,6.95034759637338,47.288606972,355714200000
1920,1924,61,1981,1985,111.989862459062,9.54606023640229,46.644081994,340811800000
1920,1924,62,1982,1986,130.977744405984,2.63031550736966,46.700362056,342142000000
1920,1924,63,1983,1987,140.484274041167,13.4342613061403,46.678794894,341699200000
1920,1924,64,1984,1988,140.103185668951,14.115500207385,46.234254792,331852600000
1920,1924,65,1985,1989,152.42815000483,11.2971396233859,46.431730056,336000000000
1920,1924,66,1986,1990,158.075223716775,14.7039220854586,46.359906954,334461600000
1920,1924,67,1987,1991,176.988294191277,13.1800665700716,45.875123548,323501800000
