cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1945,1949,24,1969,1973,1.399717257,NaN,16.95984284,214861227.8
1945,1949,25,1970,1974,2.854691398,2.032517242,17.14217458,221297773
1945,1949,26,1971,1975,6.618023388,2.526902653,17.36496771,230232310.8
1945,1949,27,1972,1976,7.214621882,2.886051488,16.94632485,213915913.8
1945,1949,28,1973,1977,11.81869956,3.139898825,17.1139828,220088423.1
1945,1949,29,1974,1978,15.0058789,3.308098064,17.17528981,222549301.2
1945,1949,30,1975,1979,17.10439646,4.04069654,17.43267092,232896101.5
1945,1949,31,1976,1980,22.9778325,2.870655923,17.53605212,237436565.2
1945,1949,32,1977,1981,27.0208219,2.33277899,17.76754236,245968139.4
1945,1949,33,1978,1982,32.33666939,5.985766146,17.53683992,237632071.7
1945,1949,34,1979,1983,38.30502844,4.650770103,17.34540533,230229324
1945,1949,35,1980,1984,54.18288025,6.436670926,17.00544624,216878700.2
1945,1949,36,1981,1985,59.8692378,7.503240715,17.17379289,224832511.3
1945,1949,37,1982,1986,65.83117204,2.286336821,17.08395238,221381173.6
1945,1949,38,1983,1987,80.87730187,6.502934736,17.49775361,237182714.2
1945,1949,39,1984,1988,84.10508808,7.841810531,18.16125147,266561938.9
1945,1949,40,1985,1989,104.2604373,3.93559752,18.71375007,289640724.1
1945,1949,41,1986,1990,118.9390683,9.22932204,18.664234,287227783.8
1945,1949,42,1987,1991,134.7740413,11.66239367,18.77892296,291665916.5
1945,1949,43,1988,1992,141.3469412,10.02097917,18.54930854,282425767.4
1945,1949,44,1989,1993,147.0854731,9.150025588,17.97038431,256215321.6
1945,1949,45,1990,1994,169.3536674,14.54370871,17.5746001,238965499.4
1945,1949,46,1991,1995,188.0047879,15.2389209,17.15828248,221036700.6
1945,1949,47,1992,1996,194.3466741,12.79509281,17.07751856,217880569.1
1945,1949,48,1993,1997,222.6872145,11.7517684,16.96100927,213645071.3
1945,1949,49,1994,1998,231.5485683,15.23725809,16.77320896,206820467.6
1945,1949,50,1995,1999,243.0825037,9.304962671,16.44765166,195303713.2
1945,1949,51,1996,2000,265.2466245,14.92127733,16.55052031,199354433
1945,1949,52,1997,2001,263.0343378,20.69756652,16.65946706,203646901.5
1945,1949,53,1998,2002,269.4043655,22.56222412,16.92316654,213665828.1
1945,1949,54,1999,2003,274.4753378,17.58357121,17.24020276,225644131.1
1945,1949,55,2000,2004,285.0815217,20.97788008,17.77631816,245871159.8
1945,1949,56,2001,2005,290.0865574,29.17016657,17.92445863,252135314.8
1945,1949,57,2002,2006,293.3120086,20.60200756,18.04720769,257300433.8
1945,1949,58,2003,2007,300.6639527,11.08704129,18.1713881,262569623.1
1945,1949,59,2004,2008,313.1203061,9.610577958,18.23000864,265034741.8
1945,1949,60,2005,2009,329.4559682,7.761947666,18.17629293,262714045.8
1945,1949,61,2006,2010,333.1747456,12.28535848,18.17538295,262673978.6
1945,1949,62,2007,2011,351.1238682,10.22608356,18.1923553,263416217.2
1945,1949,63,2008,2012,371.2796916,12.16126898,18.20595653,264015605.4
1945,1949,64,2009,2013,368.5724453,9.402129905,18.34607361,270240058.2
1945,1949,65,2010,2014,432.5116917,12.91276749,18.49690509,276932850.4
1945,1949,66,2011,2015,414.3499781,12.72118993,18.57608037,280494027.2
1945,1949,67,2012,2016,418.5204866,6.0639774,18.53619321,278760590.1
1945,1949,68,2013,2017,431.4074872,8.622542804,18.58094455,280764268.1
1945,1949,69,2014,2018,438.0761967,26.56078399,18.48168788,276306137.7
1945,1949,70,2015,2019,446.5931202,NaN,18.35822354,270787111.4
1945,1949,71,2016,2020,451.8681941,24.81895366,18.42810852,274058211
1945,1949,72,2017,2021,471.8882463,24.65513899,18.53503564,278791381.2
1945,1949,73,2018,2022,485.052848,34.27229387,18.523023,278311657.3
1945,1949,74,2019,2023,489.1721787,31.09442027,18.61342887,282427661.7
1945,1949,75,2020,2024,459.765848,61.49980561,18.84669434,292939568.6
1945,1949,76,2021,2025,459.0321677,NaN,18.63286057,282971951.5
1950,1954,19,1969,1973,0.666453402,NaN,16.95984284,214861227.8
