cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1945,1949,24,1969,1973,2.099575886,NaN,48.66390769,3.86153E+11
1945,1949,25,1970,1974,1.226256606,1.734188724,48.36097081,3.79037E+11
1945,1949,26,1971,1975,1.141376229,1.472224819,48.12627508,3.73722E+11
1945,1949,27,1972,1976,1.865606743,1.18856837,47.81385759,3.66573E+11
1945,1949,28,1973,1977,0.960716577,0.595830685,47.51967091,3.59652E+11
1945,1949,29,1974,1978,2.319809679,0.503030219,47.46003786,3.58248E+11
1945,1949,30,1975,1979,2.18446463,0.700656092,47.4295118,3.57556E+11
1945,1949,31,1976,1980,3.511809438,1.055036736,47.96692603,3.70119E+11
1945,1949,32,1977,1981,3.62810962,0.327412065,48.25153504,3.76612E+11
1945,1949,33,1978,1982,4.387115951,1.735710073,47.77232752,3.6622E+11
1945,1949,34,1979,1983,4.06654714,1.672859244,47.73186812,3.65277E+11
1945,1949,35,1980,1984,4.139758145,1.978973184,47.28860697,3.55714E+11
1945,1949,36,1981,1985,6.89113478,3.128365574,46.64408199,3.40812E+11
1945,1949,37,1982,1986,5.312278161,1.649710292,46.70036206,3.42142E+11
1945,1949,38,1983,1987,5.894301206,0.821561242,46.67879489,3.41699E+11
1945,1949,39,1984,1988,7.797974019,1.592412696,46.23425479,3.31853E+11
1945,1949,40,1985,1989,8.929214978,2.727770152,46.43173006,3.36E+11
1945,1949,41,1986,1990,10.24699521,1.871889697,46.35990695,3.34462E+11
1945,1949,42,1987,1991,12.88745199,3.940046068,45.87512355,3.23502E+11
1945,1949,43,1988,1992,15.29674585,2.317772232,46.0448925,3.27044E+11
1945,1949,44,1989,1993,16.20671174,2.756615498,46.10630541,3.2835E+11
1945,1949,45,1990,1994,16.35911632,3.583562543,46.07787528,3.27741E+11
1945,1949,46,1991,1995,20.39253324,1.1917232,46.09456573,3.28097E+11
1945,1949,47,1992,1996,21.22607312,3.525825801,46.00136176,3.26117E+11
1945,1949,48,1993,1997,26.14323387,1.960826603,45.86179507,3.23195E+11
1945,1949,49,1994,1998,29.23783348,5.753650242,45.63242658,3.18409E+11
1945,1949,50,1995,1999,33.69517366,2.379067071,45.37299757,3.1303E+11
1945,1949,51,1996,2000,37.59822681,5.36080719,45.08449212,3.07067E+11
1945,1949,52,1997,2001,43.32728061,2.180843638,44.77021461,3.00682E+11
1945,1949,53,1998,2002,51.11269222,2.215909618,44.50061199,2.95288E+11
1945,1949,54,1999,2003,52.69504057,7.05421684,44.09359087,2.87376E+11
1945,1949,55,2000,2004,58.71102991,5.464476379,43.46229093,2.75537E+11
1945,1949,56,2001,2005,61.90137773,3.099659712,43.04191274,2.67513E+11
1945,1949,57,2002,2006,65.74467193,1.871877505,42.72442583,2.61507E+11
1945,1949,58,2003,2007,70.40277255,1.758837493,42.15426398,2.51144E+11
1945,1949,59,2004,2008,72.53490418,5.155395029,42.01107148,2.48533E+11
1945,1949,60,2005,2009,76.80304505,9.153891634,42.18502802,2.51623E+11
1945,1949,61,2006,2010,80.76064872,7.159871221,42.14381897,2.50878E+11
1945,1949,62,2007,2011,81.09599298,4.376333694,42.08645737,2.4984E+11
1945,1949,63,2008,2012,81.60309876,5.673424987,42.26852301,2.52998E+11
1945,1949,64,2009,2013,85.22056463,3.931534091,42.23445456,2.5239E+11
1945,1949,65,2010,2014,106.5420159,4.848889161,42.2157554,2.52052E+11
1945,1949,66,2011,2015,97.22634895,4.96173123,42.08463065,2.49728E+11
1945,1949,67,2012,2016,92.92295531,1.982759063,41.93209345,2.47034E+11
1945,1949,68,2013,2017,102.03375,5.337913796,41.91800085,2.46785E+11
1945,1949,69,2014,2018,109.238548,1.22340638,41.92496583,2.46909E+11
1945,1949,70,2015,2019,113.1483529,NaN,41.92359933,2.46884E+11
1945,1949,71,2016,2020,109.3581088,10.205736,42.33202598,2.54364E+11
1945,1949,72,2017,2021,110.9550831,10.28016083,42.5859896,2.58904E+11
1945,1949,73,2018,2022,117.0409562,10.47130532,42.74905935,2.61874E+11
1945,1949,74,2019,2023,122.8684071,13.35745286,42.96396005,2.65814E+11
1945,1949,75,2020,2024,124.7882329,5.064278609,43.25596796,2.71224E+11
1945,1949,76,2021,2025,127.5746617,NaN,42.80711032,2.62783E+11
1950,1954,19,1969,1973,0,NaN,48.66390769,3.86153E+11
1950,1954,20,1970,1974,0.291797003,0.412663279,48.36097081,3.79037E+11
1950,1954,21,1971,1975,0.362703227,0.628220417,48.12627508,3.73722E+11
1950,1954,22,1972,1976,0.772619939,0.612278719,47.81385759,3.66573E+11
1950,1954,23,1973,1977,1.251833122,1.048752933,47.51967091,3.59652E+11
1950,1954,24,1974,1978,0.870477316,1.257954788,47.46003786,3.58248E+11
1950,1954,25,1975,1979,1.356707086,0.657426697,47.4295118,3.57556E+11
1950,1954,26,1976,1980,1.391446155,0.820579549,47.96692603,3.70119E+11
1950,1954,27,1977,1981,1.162273916,0.688374101,48.25153504,3.76612E+11
1950,1954,28,1978,1982,1.625106875,0.865661537,47.77232752,3.6622E+11
1950,1954,29,1979,1983,1.909330063,1.293194084,47.73186812,3.65277E+11
1950,1954,30,1980,1984,2.03684295,0.834708838,47.28860697,3.55714E+11
1950,1954,31,1981,1985,2.269647956,0.936360604,46.64408199,3.40812E+11
