cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1945,1949,24,1969,1973,1.413907191,NaN,48.66390769,3.86153E+11
1945,1949,25,1970,1974,0.61709349,0.872701982,48.36097081,3.79037E+11
1945,1949,26,1971,1975,1.877228044,0.760814395,48.12627508,3.73722E+11
1945,1949,27,1972,1976,1.418148168,1.777379853,47.81385759,3.66573E+11
1945,1949,28,1973,1977,1.387878213,0.486078124,47.51967091,3.59652E+11
1945,1949,29,1974,1978,1.97137502,1.325808619,47.46003786,3.58248E+11
1945,1949,30,1975,1979,1.905475961,0.644135602,47.4295118,3.57556E+11
1945,1949,31,1976,1980,3.282615207,1.090007021,47.96692603,3.70119E+11
1945,1949,32,1977,1981,2.957782398,0.234170226,48.25153504,3.76612E+11
1945,1949,33,1978,1982,4.151740091,2.452671302,47.77232752,3.6622E+11
1945,1949,34,1979,1983,3.010799258,1.505325953,47.73186812,3.65277E+11
1945,1949,35,1980,1984,4.780482619,1.711085703,47.28860697,3.55714E+11
1945,1949,36,1981,1985,6.391290589,3.071179401,46.64408199,3.40812E+11
1945,1949,37,1982,1986,5.748759288,0.968711126,46.70036206,3.42142E+11
1945,1949,38,1983,1987,6.748788839,2.453590106,46.67879489,3.41699E+11
1945,1949,39,1984,1988,8.723019361,1.324750092,46.23425479,3.31853E+11
1945,1949,40,1985,1989,10.62334033,3.175781577,46.43173006,3.36E+11
1945,1949,41,1986,1990,13.18224399,3.017164942,46.35990695,3.34462E+11
1945,1949,42,1987,1991,11.48544533,1.495526434,45.87512355,3.23502E+11
1945,1949,43,1988,1992,15.28968873,4.446909138,46.0448925,3.27044E+11
1945,1949,44,1989,1993,15.32396745,2.558733939,46.10630541,3.2835E+11
1945,1949,45,1990,1994,17.68621894,2.835996629,46.07787528,3.27741E+11
1945,1949,46,1991,1995,22.7571147,3.328387686,46.09456573,3.28097E+11
1945,1949,47,1992,1996,24.07801196,3.567040634,46.00136176,3.26117E+11
1945,1949,48,1993,1997,31.74969998,6.589178963,45.86179507,3.23195E+11
1945,1949,49,1994,1998,32.4832057,4.823370512,45.63242658,3.18409E+11
1945,1949,50,1995,1999,43.13994639,5.020847793,45.37299757,3.1303E+11
1945,1949,51,1996,2000,48.05713122,3.423211249,45.08449212,3.07067E+11
1945,1949,52,1997,2001,56.45853078,2.865475335,44.77021461,3.00682E+11
1945,1949,53,1998,2002,61.20600807,4.161668852,44.50061199,2.95288E+11
1945,1949,54,1999,2003,77.68931632,3.346763962,44.09359087,2.87376E+11
1945,1949,55,2000,2004,81.16139084,6.191042112,43.46229093,2.75537E+11
1945,1949,56,2001,2005,89.40412246,4.81137025,43.04191274,2.67513E+11
1945,1949,57,2002,2006,94.82894263,6.537795631,42.72442583,2.61507E+11
1945,1949,58,2003,2007,99.23739806,3.570038708,42.15426398,2.51144E+11
1945,1949,59,2004,2008,109.4639658,7.618451238,42.01107148,2.48533E+11
1945,1949,60,2005,2009,117.7591354,12.72192083,42.18502802,2.51623E+11
1945,1949,61,2006,2010,112.1396921,4.376329322,42.14381897,2.50878E+11
1945,1949,62,2007,2011,123.2445706,7.359954938,42.08645737,2.4984E+11
1945,1949,63,2008,2012,125.4756072,8.626141573,42.26852301,2.52998E+11
1945,1949,64,2009,2013,128.3811628,11.45019557,42.23445456,2.5239E+11
1945,1949,65,2010,2014,149.8612971,4.176751477,42.2157554,2.52052E+11
1945,1949,66,2011,2015,142.2966974,11.71681285,42.08463065,2.49728E+11
1945,1949,67,2012,2016,148.8635244,7.62563215,41.93209345,2.47034E+11
1945,1949,68,2013,2017,156.7350569,13.40328729,41.91800085,2.46785E+11
1945,1949,69,2014,2018,149.8571765,1.902176695,41.92496583,2.46909E+11
1945,1949,70,2015,2019,159.4901598,NaN,41.92359933,2.46884E+11
1945,1949,71,2016,2020,150.8165914,14.59469703,42.33202598,2.54364E+11
1945,1949,72,2017,2021,156.9141896,15.61238414,42.5859896,2.58904E+11
1945,1949,73,2018,2022,152.5412331,11.90482621,42.74905935,2.61874E+11
1945,1949,74,2019,2023,158.959288,17.97396025,42.96396005,2.65814E+11
1945,1949,75,2020,2024,167.7049064,20.12738841,43.25596796,2.71224E+11
1945,1949,76,2021,2025,173.2898146,NaN,42.80711032,2.62783E+11
1950,1954,19,1969,1973,0,NaN,48.66390769,3.86153E+11
1950,1954,20,1970,1974,0.352137474,0.497997592,48.36097081,3.79037E+11
1950,1954,21,1971,1975,0.742286833,0.822277542,48.12627508,3.73722E+11
1950,1954,22,1972,1976,0.619343546,0.501434413,47.81385759,3.66573E+11
1950,1954,23,1973,1977,0.918362074,0.461022697,47.51967091,3.59652E+11
1950,1954,24,1974,1978,0.545440567,0.528712397,47.46003786,3.58248E+11
1950,1954,25,1975,1979,1.581725375,0.962852076,47.4295118,3.57556E+11
1950,1954,26,1976,1980,0.943124828,0.409184613,47.96692603,3.70119E+11
1950,1954,27,1977,1981,1.667680755,0.553631003,48.25153504,3.76612E+11
1950,1954,28,1978,1982,1.878908941,1.007382828,47.77232752,3.6622E+11
1950,1954,29,1979,1983,1.537328734,0.564728297,47.73186812,3.65277E+11
1950,1954,30,1980,1984,1.709561864,1.261414636,47.28860697,3.55714E+11
1950,1954,31,1981,1985,1.916610337,1.617003682,46.64408199,3.40812E+11
1950,1954,32,1982,1986,3.884614104,1.499121935,46.70036206,3.42142E+11
1950,1954,33,1983,1987,3.042367293,0.983049523,46.67879489,3.41699E+11
1950,1954,34,1984,1988,5.142052048,2.423784043,46.23425479,3.31853E+11
1950,1954,35,1985,1989,5.013103676,1.684428581,46.43173006,3.36E+11
1950,1954,36,1986,1990,4.733832964,1.540921366,46.35990695,3.34462E+11
1950,1954,37,1987,1991,6.05850454,2.28495049,45.87512355,3.23502E+11
1950,1954,38,1988,1992,7.754513935,2.595736442,46.0448925,3.27044E+11
1950,1954,39,1989,1993,9.116862511,4.000137768,46.10630541,3.2835E+11
1950,1954,40,1990,1994,8.75392097,0.937953067,46.07787528,3.27741E+11
1950,1954,41,1991,1995,10.4233738,1.254608426,46.09456573,3.28097E+11
1950,1954,42,1992,1996,14.05903908,2.992763008,46.00136176,3.26117E+11
1950,1954,43,1993,1997,15.13482581,2.155241444,45.86179507,3.23195E+11
1950,1954,44,1994,1998,17.35411525,1.86660428,45.63242658,3.18409E+11
1950,1954,45,1995,1999,21.06850387,5.752461572,45.37299757,3.1303E+11
1950,1954,46,1996,2000,23.52536816,1.441072191,45.08449212,3.07067E+11
1950,1954,47,1997,2001,28.96639168,3.25917196,44.77021461,3.00682E+11
1950,1954,48,1998,2002,34.79856331,3.424665529,44.50061199,2.95288E+11
1950,1954,49,1999,2003,37.3627709,4.156303603,44.09359087,2.87376E+11
1950,1954,50,2000,2004,51.89530908,3.225866785,43.46229093,2.75537E+11
1950,1954,51,2001,2005,59.13931568,3.505133682,43.04191274,2.67513E+11
1950,1954,52,2002,2006,59.66225971,2.944935098,42.72442583,2.61507E+11
1950,1954,53,2003,2007,66.07357036,3.01005247,42.15426398,2.51144E+11
1950,1954,54,2004,2008,71.73881895,1.478901762,42.01107148,2.48533E+11
1950,1954,55,2005,2009,78.49634514,7.213106449,42.18502802,2.51623E+11
1950,1954,56,2006,2010,83.32868717,4.531232714,42.14381897,2.50878E+11
1950,1954,57,2007,2011,84.32816481,4.886029497,42.08645737,2.4984E+11
1950,1954,58,2008,2012,87.41712059,3.360732248,42.26852301,2.52998E+11
1950,1954,59,2009,2013,91.64616808,1.876443385,42.23445456,2.5239E+11
1950,1954,60,2010,2014,100.9223213,6.246330047,42.2157554,2.52052E+11
1950,1954,61,2011,2015,106.4918284,3.155379542,42.08463065,2.49728E+11
1950,1954,62,2012,2016,111.2502571,7.735072429,41.93209345,2.47034E+11
1950,1954,63,2013,2017,116.7453254,5.508190901,41.91800085,2.46785E+11
1950,1954,64,2014,2018,127.335698,3.483785484,41.92496583,2.46909E+11
1950,1954,65,2015,2019,141.286958,NaN,41.92359933,2.46884E+11
1950,1954,66,2016,2020,130.7249925,8.263919839,42.33202598,2.54364E+11
1950,1954,67,2017,2021,132.5942006,6.611271916,42.5859896,2.58904E+11
1950,1954,68,2018,2022,131.6709539,6.457579236,42.74905935,2.61874E+11
1950,1954,69,2019,2023,136.9855672,9.736970057,42.96396005,2.65814E+11
1950,1954,70,2020,2024,135.2729245,7.622012143,43.25596796,2.71224E+11
1950,1954,71,2021,2025,148.5604973,NaN,42.80711032,2.62783E+11
1965,1969,4,1969,1973,0,NaN,48.66390769,3.86153E+11
1965,1969,5,1970,1974,0,0,48.36097081,3.79037E+11
1965,1969,6,1971,1975,0,0,48.12627508,3.73722E+11
1965,1969,7,1972,1976,0,0,47.81385759,3.66573E+11
1965,1969,8,1973,1977,0,0,47.51967091,3.59652E+11
1965,1969,9,1974,1978,0,0,47.46003786,3.58248E+11
1965,1969,10,1975,1979,0,0,47.4295118,3.57556E+11
1965,1969,11,1976,1980,0.116334532,0.260131921,47.96692603,3.70119E+11
1965,1969,12,1977,1981,0,0,48.25153504,3.76612E+11
1965,1969,13,1978,1982,0,0,47.77232752,3.6622E+11
1965,1969,14,1979,1983,0.234438818,0.321030787,47.73186812,3.65277E+11
1965,1969,15,1980,1984,0,0,47.28860697,3.55714E+11
1965,1969,16,1981,1985,0.217015671,0.29736226,46.64408199,3.40812E+11
1965,1969,17,1982,1986,0.446144528,0.467809946,46.70036206,3.42142E+11
1965,1969,18,1983,1987,0.233158563,0.319869054,46.67879489,3.41699E+11
1965,1969,19,1984,1988,0.231325404,0.316862777,46.23425479,3.31853E+11
1965,1969,20,1985,1989,0.227487822,0.311501877,46.43173006,3.36E+11
1965,1969,21,1986,1990,0.566985149,0.71004899,46.35990695,3.34462E+11
1965,1969,22,1987,1991,0.33350507,0.304877428,45.87512355,3.23502E+11
1965,1969,23,1988,1992,0.906439906,0.257576276,46.0448925,3.27044E+11
1965,1969,24,1989,1993,0.522980135,0.391660073,46.10630541,3.2835E+11
1965,1969,25,1990,1994,0.877978437,0.595170167,46.07787528,3.27741E+11
1965,1969,26,1991,1995,1.347982859,0.483347077,46.09456573,3.28097E+11
1965,1969,27,1992,1996,1.577056376,1.189455483,46.00136176,3.26117E+11
1965,1969,28,1993,1997,1.580300612,1.209126546,45.86179507,3.23195E+11
1965,1969,29,1994,1998,2.015880695,0.75906828,45.63242658,3.18409E+11
1965,1969,30,1995,1999,2.192238899,0.868074738,45.37299757,3.1303E+11
1965,1969,31,1996,2000,3.147055801,0.924540324,45.08449212,3.07067E+11
1965,1969,32,1997,2001,3.359371013,0.931350573,44.77021461,3.00682E+11
1965,1969,33,1998,2002,5.772419926,0.897556356,44.50061199,2.95288E+11
1965,1969,34,1999,2003,5.391241798,1.086088337,44.09359087,2.87376E+11
1965,1969,35,2000,2004,6.315111003,0.597371154,43.46229093,2.75537E+11
1965,1969,36,2001,2005,7.465334301,1.004496132,43.04191274,2.67513E+11
1965,1969,37,2002,2006,8.645553053,0.973570505,42.72442583,2.61507E+11
1965,1969,38,2003,2007,10.16541232,1.169289515,42.15426398,2.51144E+11
1965,1969,39,2004,2008,12.22012448,1.86529187,42.01107148,2.48533E+11
1965,1969,40,2005,2009,13.76147303,0.962389062,42.18502802,2.51623E+11
1965,1969,41,2006,2010,16.63087442,2.054659457,42.14381897,2.50878E+11
1965,1969,42,2007,2011,16.67929825,3.103203139,42.08645737,2.4984E+11
1965,1969,43,2008,2012,19.54232442,1.443449792,42.26852301,2.52998E+11
1965,1969,44,2009,2013,22.36085128,2.033679857,42.23445456,2.5239E+11
1965,1969,45,2010,2014,26.68545996,1.478344063,42.2157554,2.52052E+11
1965,1969,46,2011,2015,32.23256384,2.482895,42.08463065,2.49728E+11
1965,1969,47,2012,2016,33.35821737,5.095149376,41.93209345,2.47034E+11
1965,1969,48,2013,2017,38.1062616,3.1693398,41.91800085,2.46785E+11
1965,1969,49,2014,2018,39.99158262,0.892262051,41.92496583,2.46909E+11
1965,1969,50,2015,2019,74.32150726,NaN,41.92359933,2.46884E+11
1965,1969,51,2016,2020,69.33223085,5.778656893,42.33202598,2.54364E+11
1965,1969,52,2017,2021,66.71637278,4.53630283,42.5859896,2.58904E+11
1965,1969,53,2018,2022,65.36463358,7.033811329,42.74905935,2.61874E+11
1965,1969,54,2019,2023,67.79209085,5.428778519,42.96396005,2.65814E+11
1965,1969,55,2020,2024,69.66912168,8.325892643,43.25596796,2.71224E+11
1965,1969,56,2021,2025,75.11676741,NaN,42.80711032,2.62783E+11
1980,1984,0,1980,1984,0,0,47.28860697,3.55714E+11
1980,1984,1,1981,1985,0,0,46.64408199,3.40812E+11
1980,1984,2,1982,1986,0,0,46.70036206,3.42142E+11
1980,1984,3,1983,1987,0,0,46.67879489,3.41699E+11
1980,1984,4,1984,1988,0,0,46.23425479,3.31853E+11
1980,1984,5,1985,1989,0,0,46.43173006,3.36E+11
1980,1984,6,1986,1990,0,0,46.35990695,3.34462E+11
1980,1984,7,1987,1991,0,0,45.87512355,3.23502E+11
1980,1984,8,1988,1992,0,0,46.0448925,3.27044E+11
1980,1984,9,1989,1993,0,0,46.10630541,3.2835E+11
1980,1984,10,1990,1994,0,0,46.07787528,3.27741E+11
1980,1984,11,1991,1995,0,0,46.09456573,3.28097E+11
1980,1984,12,1992,1996,0.147891789,0.20251602,46.00136176,3.26117E+11
1980,1984,13,1993,1997,0,0,45.86179507,3.23195E+11
1980,1984,14,1994,1998,0.363141089,0.62474272,45.63242658,3.18409E+11
1980,1984,15,1995,1999,0.144757326,0.198252075,45.37299757,3.1303E+11
1980,1984,16,1996,2000,0.177105801,0.178420061,45.08449212,3.07067E+11
1980,1984,17,1997,2001,0.20933436,0.149318087,44.77021461,3.00682E+11
1980,1984,18,1998,2002,0.203071407,0.22103853,44.50061199,2.95288E+11
1980,1984,19,1999,2003,0.486726569,0.159796762,44.09359087,2.87376E+11
1980,1984,20,2000,2004,0.439095253,0.554670148,43.46229093,2.75537E+11
1980,1984,21,2001,2005,0.566079093,0.32187361,43.04191274,2.67513E+11
1980,1984,22,2002,2006,0.660433925,0.161712987,42.72442583,2.61507E+11
1980,1984,23,2003,2007,1.079648837,0.374841561,42.15426398,2.51144E+11
1980,1984,24,2004,2008,1.206588458,0.372672392,42.01107148,2.48533E+11
1980,1984,25,2005,2009,1.54803076,0.359486666,42.18502802,2.51623E+11
1980,1984,26,2006,2010,1.897504852,0.72042448,42.14381897,2.50878E+11
1980,1984,27,2007,2011,2.148669383,0.267462085,42.08645737,2.4984E+11
1980,1984,28,2008,2012,2.631678157,0.91652048,42.26852301,2.52998E+11
1980,1984,29,2009,2013,3.449790477,0.698512591,42.23445456,2.5239E+11
1980,1984,30,2010,2014,4.217362258,0.745162015,42.2157554,2.52052E+11
1980,1984,31,2011,2015,4.021580133,0.985957723,42.08463065,2.49728E+11
1980,1984,32,2012,2016,5.409002383,0.809318794,41.93209345,2.47034E+11
1980,1984,33,2013,2017,7.160398291,1.076349568,41.91800085,2.46785E+11
1980,1984,34,2014,2018,6.626869992,3.615157857,41.92496583,2.46909E+11
1980,1984,35,2015,2019,8.532140098,NaN,41.92359933,2.46884E+11
1980,1984,36,2016,2020,10.29078562,1.227051222,42.33202598,2.54364E+11
1980,1984,37,2017,2021,11.6883363,0.991144137,42.5859896,2.58904E+11
1980,1984,38,2018,2022,13.25931594,1.400796951,42.74905935,2.61874E+11
1980,1984,39,2019,2023,14.82882127,0.779711385,42.96396005,2.65814E+11
1980,1984,40,2020,2024,16.65530178,1.048093482,43.25596796,2.71224E+11
1980,1984,41,2021,2025,22.46487561,NaN,42.80711032,2.62783E+11
