cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1945,1949,24,1969,1973,9.7980208,NaN,24.19774766,20313754439
1945,1949,25,1970,1974,6.6093532,0.676093315,23.72037821,19169806806
1945,1949,26,1971,1975,10.17356198,1.90012244,23.70720428,19134723653
1945,1949,27,1972,1976,8.184058339,1.039004705,22.88266681,17110374858
1945,1949,28,1973,1977,8.951706583,3.36411574,22.99834731,17391723612
1945,1949,29,1974,1978,8.958963283,3.12838622,23.37833283,18181248400
1945,1949,30,1975,1979,10.08018593,2.442799966,23.7616314,19081419516
1945,1949,31,1976,1980,11.24959019,2.75198251,22.81024328,17004299700
1945,1949,32,1977,1981,8.230089567,2.252550878,22.85894327,17105099012
1945,1949,33,1978,1982,9.568069732,2.226939789,22.18125665,15641917579
1945,1949,34,1979,1983,7.084462687,2.053286673,22.68573028,16910377936
1945,1949,35,1980,1984,8.525044226,2.385237602,22.37975653,16180097461
1945,1949,36,1981,1985,8.935377849,1.476795838,23.0169197,17473905150
1945,1949,37,1982,1986,9.319869913,1.075015881,22.65151178,16770394529
1945,1949,38,1983,1987,9.624856022,2.824434353,22.66793477,16800786429
1945,1949,39,1984,1988,10.50937525,2.556685136,21.86707554,14904971802
1945,1949,40,1985,1989,9.029253951,1.863020691,21.53032153,14206328044
1945,1949,41,1986,1990,9.819283007,3.127957,20.87978117,12889288689
1945,1949,42,1987,1991,12.1403968,3.028974161,20.87160819,12874911739
1945,1949,43,1988,1992,11.30340214,2.295310184,20.90229161,12932335732
1945,1949,44,1989,1993,12.58628273,4.867054368,20.77200259,12682335149
1945,1949,45,1990,1994,11.57600131,1.594007265,20.92473661,12986042039
1945,1949,46,1991,1995,11.79987901,2.571373709,21.04087397,13192900093
1945,1949,47,1992,1996,14.98984325,3.401934791,21.1850294,13455042968
1945,1949,48,1993,1997,15.8961086,1.976617705,21.14087588,13372673986
1945,1949,49,1994,1998,14.89379945,3.03151287,20.98184896,13087914906
1945,1949,50,1995,1999,14.72233116,2.536422266,20.56634083,12310505554
1945,1949,51,1996,2000,17.1573154,2.602485597,20.50324126,12196662238
1945,1949,52,1997,2001,16.92325337,1.697045736,20.31674654,11860961036
1945,1949,53,1998,2002,18.99441586,3.911496266,20.04555413,11392190307
1945,1949,54,1999,2003,18.45422556,3.388619496,19.73432971,10896637532
1945,1949,55,2000,2004,21.64070061,2.711299519,19.34071505,10295195633
1945,1949,56,2001,2005,21.23565272,4.095373793,18.8050669,9462611169
1945,1949,57,2002,2006,25.11102124,4.298540043,18.2978746,8695841956
1945,1949,58,2003,2007,24.56605008,5.09920086,17.72844681,7904485917
1945,1949,59,2004,2008,27.5909332,3.476270656,17.30584351,7352622007
1945,1949,60,2005,2009,28.29203465,5.274673931,16.97491311,6938943587
1945,1949,61,2006,2010,29.07614987,4.492203931,16.63195942,6521577750
1945,1949,62,2007,2011,32.69208717,3.436208696,16.3077339,6133741192
1945,1949,63,2008,2012,31.47932402,3.699014671,16.17838876,5987316813
1945,1949,64,2009,2013,33.36016195,2.355723423,16.03821278,5832618181
1945,1949,65,2010,2014,39.41936542,5.178919526,16.05059469,5846682302
1945,1949,66,2011,2015,35.67918179,2.782412731,16.14358507,5951568845
1945,1949,67,2012,2016,37.19881111,1.262823944,16.25190264,6072857818
1945,1949,68,2013,2017,35.04875239,5.211339329,16.43596987,6284761399
1945,1949,69,2014,2018,32.65916362,1.999451609,16.84432371,6774183159
1945,1949,70,2015,2019,27.14417557,NaN,17.20481493,7232033052
1945,1949,71,2016,2020,30.31016914,3.152822193,17.58241075,7722035267
1945,1949,72,2017,2021,30.30305547,2.261438906,18.05936609,8357512684
1945,1949,73,2018,2022,25.64574211,1.510302843,18.34020833,8730542568
1945,1949,74,2019,2023,27.29131872,3.663761066,18.51241583,8973268515
1945,1949,75,2020,2024,22.65102926,1.70440625,18.66811751,9199116556
1945,1949,76,2021,2025,19.91505539,NaN,18.9059661,9550579453
1950,1954,19,1969,1973,1.332906803,NaN,24.19774766,20313754439
1950,1954,20,1970,1974,2.475534438,0.62569841,23.72037821,19169806806
1950,1954,21,1971,1975,4.212088816,0.691679173,23.70720428,19134723653
1950,1954,22,1972,1976,5.570608411,0.588395108,22.88266681,17110374858
1950,1954,23,1973,1977,5.353981953,1.012935709,22.99834731,17391723612
1950,1954,24,1974,1978,6.525715079,2.230082997,23.37833283,18181248400
1950,1954,25,1975,1979,7.07189666,1.181907013,23.7616314,19081419516
1950,1954,26,1976,1980,6.731298886,2.050914235,22.81024328,17004299700
1950,1954,27,1977,1981,9.765222844,0.750764153,22.85894327,17105099012
1950,1954,28,1978,1982,9.736609525,2.227215054,22.18125665,15641917579
1950,1954,29,1979,1983,7.546934932,1.376698496,22.68573028,16910377936
1950,1954,30,1980,1984,8.867996217,1.05130066,22.37975653,16180097461
1950,1954,31,1981,1985,9.384352165,1.751673189,23.0169197,17473905150
1950,1954,32,1982,1986,10.57590987,1.667408768,22.65151178,16770394529
1950,1954,33,1983,1987,8.24475169,1.624302014,22.66793477,16800786429
1950,1954,34,1984,1988,10.1064978,2.577857204,21.86707554,14904971802
1950,1954,35,1985,1989,12.54770643,3.610400886,21.53032153,14206328044
1950,1954,36,1986,1990,11.19273439,1.701231125,20.87978117,12889288689
1950,1954,37,1987,1991,10.05141396,0.757522381,20.87160819,12874911739
1950,1954,38,1988,1992,10.42451302,2.695721222,20.90229161,12932335732
1950,1954,39,1989,1993,11.30752965,1.278560343,20.77200259,12682335149
1950,1954,40,1990,1994,14.44193413,2.779663668,20.92473661,12986042039
1950,1954,41,1991,1995,13.03028555,2.00907547,21.04087397,13192900093
1950,1954,42,1992,1996,13.15017531,2.474208946,21.1850294,13455042968
1950,1954,43,1993,1997,14.53022918,3.359379215,21.14087588,13372673986
1950,1954,44,1994,1998,11.79349183,1.607000506,20.98184896,13087914906
1950,1954,45,1995,1999,14.31413374,2.494802789,20.56634083,12310505554
1950,1954,46,1996,2000,16.85748617,2.871706413,20.50324126,12196662238
1950,1954,47,1997,2001,16.94244192,2.599287311,20.31674654,11860961036
1950,1954,48,1998,2002,18.32572375,1.687020103,20.04555413,11392190307
1950,1954,49,1999,2003,19.69613093,1.676262629,19.73432971,10896637532
1950,1954,50,2000,2004,20.8166864,3.336966744,19.34071505,10295195633
1950,1954,51,2001,2005,23.9086502,3.724723028,18.8050669,9462611169
1950,1954,52,2002,2006,24.81654065,3.488889768,18.2978746,8695841956
1950,1954,53,2003,2007,25.99395673,5.036157606,17.72844681,7904485917
1950,1954,54,2004,2008,29.23894147,2.341782644,17.30584351,7352622007
1950,1954,55,2005,2009,29.05077485,4.048434053,16.97491311,6938943587
1950,1954,56,2006,2010,29.75125899,5.012003959,16.63195942,6521577750
1950,1954,57,2007,2011,31.44393175,3.681635494,16.3077339,6133741192
1950,1954,58,2008,2012,33.93728257,4.202012219,16.17838876,5987316813
1950,1954,59,2009,2013,34.64637943,1.555256758,16.03821278,5832618181
1950,1954,60,2010,2014,34.63781388,2.950668218,16.05059469,5846682302
1950,1954,61,2011,2015,33.90001764,0.814614484,16.14358507,5951568845
1950,1954,62,2012,2016,36.74341514,3.2140704,16.25190264,6072857818
1950,1954,63,2013,2017,36.60497883,1.399996752,16.43596987,6284761399
1950,1954,64,2014,2018,33.31022667,0.937384398,16.84432371,6774183159
1950,1954,65,2015,2019,36.74791347,NaN,17.20481493,7232033052
1950,1954,66,2016,2020,34.42137996,3.163915958,17.58241075,7722035267
1950,1954,67,2017,2021,30.29766555,2.743740243,18.05936609,8357512684
1950,1954,68,2018,2022,31.57988513,5.538560758,18.34020833,8730542568
1950,1954,69,2019,2023,28.85933293,4.258120575,18.51241583,8973268515
1950,1954,70,2020,2024,25.67787107,3.237326708,18.66811751,9199116556
1950,1954,71,2021,2025,30.07681782,NaN,18.9059661,9550579453
1965,1969,4,1969,1973,0,NaN,24.19774766,20313754439
1965,1969,5,1970,1974,0,0,23.72037821,19169806806
1965,1969,6,1971,1975,0,0,23.70720428,19134723653
1965,1969,7,1972,1976,0.332072642,0.386064665,22.88266681,17110374858
1965,1969,8,1973,1977,0,0,22.99834731,17391723612
1965,1969,9,1974,1978,0.361480625,0.808295249,23.37833283,18181248400
1965,1969,10,1975,1979,0.107179413,0.239660453,23.7616314,19081419516
1965,1969,11,1976,1980,0.11590373,0.25916862,22.81024328,17004299700
1965,1969,12,1977,1981,0.239137028,0.32760653,22.85894327,17105099012
1965,1969,13,1978,1982,0.601857046,0.740315779,22.18125665,15641917579
1965,1969,14,1979,1983,0.714068764,0.517764081,22.68573028,16910377936
1965,1969,15,1980,1984,1.316589467,1.433923744,22.37975653,16180097461
1965,1969,16,1981,1985,2.216841687,0.87507488,23.0169197,17473905150
1965,1969,17,1982,1986,1.85260449,1.204287108,22.65151178,16770394529
1965,1969,18,1983,1987,3.789713898,0.928421349,22.66793477,16800786429
1965,1969,19,1984,1988,2.298449976,1.210326773,21.86707554,14904971802
1965,1969,20,1985,1989,4.385309531,1.492822518,21.53032153,14206328044
1965,1969,21,1986,1990,5.708760028,2.833551141,20.87978117,12889288689
1965,1969,22,1987,1991,8.333099003,0.680257094,20.87160819,12874911739
1965,1969,23,1988,1992,6.793874637,1.378680165,20.90229161,12932335732
1965,1969,24,1989,1993,7.358787402,1.361404115,20.77200259,12682335149
1965,1969,25,1990,1994,6.878834948,2.002898835,20.92473661,12986042039
1965,1969,26,1991,1995,7.539868016,1.352847622,21.04087397,13192900093
1965,1969,27,1992,1996,10.10563612,3.064491214,21.1850294,13455042968
1965,1969,28,1993,1997,11.13954935,1.85488299,21.14087588,13372673986
1965,1969,29,1994,1998,10.09037595,1.350341376,20.98184896,13087914906
1965,1969,30,1995,1999,12.25214876,3.53738843,20.56634083,12310505554
1965,1969,31,1996,2000,12.07092415,2.36452125,20.50324126,12196662238
1965,1969,32,1997,2001,11.27354846,2.239626432,20.31674654,11860961036
1965,1969,33,1998,2002,16.54366541,2.080083746,20.04555413,11392190307
1965,1969,34,1999,2003,16.54431985,3.192004261,19.73432971,10896637532
1965,1969,35,2000,2004,18.36453027,4.032133597,19.34071505,10295195633
1965,1969,36,2001,2005,20.73231381,3.17188655,18.8050669,9462611169
