T1,T2,T3,,,,
-2.36E-06,-0.002392949,-0.002134552,,,,
-3.02E-06,-0.001976578,-0.001785342,,,,
0.004013322,-0.003341654,-0.003083022,,,,
-0.002472792,-0.000878188,-0.001095353,,,,
2.35E-05,-0.001914591,-0.001737972,,,,
7.19E-06,-0.001888008,-0.001864129,,,,
3.17E-07,-0.001291648,-0.001139604,,,,
0.199695879,0.060280849,0.057601868,,,,
9.02E-05,-0.001817026,-0.001590501,,,,
-2.73E-06,-0.001863883,-0.00168375,,,,
2.13E-06,-0.002396504,-0.002154799,,,,
-0.132436754,-0.038716899,-0.036781659,,,,
-0.00036803,-0.000985164,-0.000881878,,,,
1.05E-06,0.000248917,0.000313789,,,,
-1.08E-05,-0.000228376,-1.60E-05,,,,
-0.145789869,-0.041201632,-0.039152183,,,,
2.20E-05,-0.001362756,-0.001148057,,,,
4.25E-07,-0.001778113,-0.001630862,,,,
-8.76E-07,-9.57E-05,1.49E-05,,,,
-2.59E-06,-0.001977799,-0.001714302,,,,
0.001505845,-0.001147058,-0.000931661,,,,
-2.45E-05,-0.00532855,-0.00482169,,,,
2.93E-05,-0.00182631,-0.001666404,,,,
1.85E-05,-0.000896087,-0.000738294,,,,
-8.46E-07,-0.000871814,-0.000549037,,,,
3.76E-07,-0.002691818,-0.002432698,,,,
4.12E-07,-0.001205761,-0.001015207,,,,
0.068900135,0.016473074,0.015854062,,,,
-2.21E-06,-0.000960221,-0.000896952,,,,
-1.68E-06,-0.001594524,-0.001358571,,,,
7.08E-07,-0.001944764,-0.001747719,,,,
3.63E-05,-0.001073257,-0.001091939,,,,
6.12E-06,-0.001174539,-0.001014037,,,,
-5.12E-07,-0.001416108,-0.001195806,,,,
-0.196659232,-0.06223951,-0.059647959,,,,
0.000122394,-0.000568391,-0.000409912,,,,
-0.000445208,-5.82E-05,-2.07E-05,,,,
-9.58E-07,-0.00254536,-0.00228562,,,,
-3.49E-06,-0.001270305,-0.00129693,,,,
-0.13391237,-0.048155598,-0.045956655,,,,
-0.000656532,-0.002034563,-0.001801643,,,,
-3.46E-07,-0.001729075,-0.001516753,,,,
-2.06E-08,-0.003129131,-0.002759938,,,,
-1.72E-05,-0.002002682,-0.001915636,,,,
1.91E-06,-0.00071193,-0.000688537,,,,
1.90E-07,-0.001903048,-0.001677849,,,,
2.10E-06,-0.001887203,-0.001655469,,,,
-4.73E-06,-0.000671076,-0.000416692,,,,
-2.99E-06,-0.00210146,-0.001898107,,,,
-2.65E-09,-0.002135516,-0.001966392,,,,
-3.28E-06,-0.001395533,-0.001220189,,,,
0.000357286,-0.000687963,-0.000545455,,,,
0.22789818,0.062708539,0.059568839,,,,
-3.12E-06,-0.00163395,-0.001496062,,,,
-0.209862812,-0.067952086,-0.064761933,,,,
0.22875797,0.052005018,0.049768647,,,,
0.000765201,-0.000755163,-0.000670122,,,,
0.006741126,0.000201743,7.33E-05,,,,
-8.48E-07,-0.003270609,-0.002928787,,,,
3.05E-09,-0.001087031,-0.00084798,,,,
-0.010864964,-0.006469267,-0.006249215,,,,
0.003374232,-0.001380859,-0.000945009,,,,
0.193777053,0.053099774,0.050849898,,,,
0.001638294,-0.000682232,-0.000564702,,,,
9.01E-05,-0.001420915,-0.001201288,,,,
-3.44E-05,-0.001225235,-0.001062748,,,,
0.012849424,0.001857746,0.001841492,,,,
0.201531269,0.054223931,0.05185259,,,,
-2.14E-05,-0.002270309,-0.001610252,,,,
-6.87E-06,-0.003221786,-0.003064009,,,,
0.005164728,0.00050891,-5.97E-05,,,,
0.130015137,0.035996746,0.033977804,,,,
-3.71E-05,-0.000712315,-0.000519258,,,,
-8.07E-08,-0.001021351,-0.000864984,,,,
-0.195715019,-0.053392172,-0.050691605,,,,
-4.90E-05,-0.001399419,-0.001519471,,,,
-1.04E-05,-0.00142882,-0.001251378,,,,
-0.001116804,-0.000466826,-0.000309008,,,,
0.003269086,-0.000889813,-0.000746328,,,,
5.04E-07,-0.000648327,-0.000548415,,,,
-0.003419182,-0.002840117,-0.002560946,,,,
-0.135194901,-0.043639698,-0.040722169,,,,
3.88E-09,-0.000970346,-0.000814695,,,,
-0.22986309,-0.066368571,-0.06337155,,,,
0.000110408,-0.000429907,-0.000352465,,,,
-3.41E-05,-0.003104338,-0.002800487,,,,
-5.88E-09,-0.001637195,-0.00163966,,,,
-5.73E-05,-0.000616929,-0.000553807,,,,
0.004880273,-0.000111148,6.23E-05,,,,
3.00E-06,-0.003508873,-0.003382208,,,,
-0.000344683,-0.000977275,-0.000887917,,,,
-7.00E-06,-0.002542521,-0.002285902,,,,
0.00204794,-0.000925003,-0.00085699,,,,
0.216922439,0.059534132,0.056835582,,,,
-0.001964084,-0.005214676,-0.00453891,,,,
-1.22E-08,-0.002095478,-0.001854881,,,,
-1.72E-05,-0.001873958,-0.001586162,,,,
-2.53E-08,-0.002475184,-0.002226883,,,,
-0.195037092,-0.0547355,-0.052142224,,,,
-0.227368068,-0.059790283,-0.056939259,,,,
