year1,year2,size
1915,1919,146529516.723485
1916,1920,154292343.664413
1917,1921,142916848.388114
1918,1922,137894235.776131
1919,1923,221152784.700286
1920,1924,202650291.135257
1921,1925,173390471.78052
1922,1926,139248536.722331
1923,1927,149182719.224053
1924,1928,165814790.895666
1925,1929,188733183.310802
1926,1930,142002059.491199
1927,1931,120630092.280923
1928,1932,141584285.870224
1929,1933,182857168.374017
1930,1934,185270565.61361
1931,1935,187739906.566125
1932,1936,175738262.049909
1933,1937,183922367.70798
1934,1938,170166107.379449
1935,1939,201425768.716394
1936,1940,152434954.696063
1937,1941,194476478.780376
1938,1942,166213028.198943
1939,1943,178899785.350989
1940,1944,200009447.534367
1941,1945,212076280.406021
1942,1946,164594698.032144
1943,1947,219288639.935109
1944,1948,206869024.601271
1945,1949,191576950.554084
1946,1950,189817771.455792
1947,1951,190423609.303519
1948,1952,189607421.89525
1949,1953,198065935.300429
1950,1954,199812479.745231
1951,1955,218378519.198653
1952,1956,235280503.44867
1953,1957,212507162.311905
1954,1958,198372715.949208
1955,1959,218293530.908186
1956,1960,209446150.783225
1957,1961,183227192.900978
1958,1962,228924604.355079
1959,1963,215566729.353476
1960,1964,212804245.85673
1961,1965,222477551.441326
1962,1966,217868641.284218
1963,1967,191877300.549924
1964,1968,210541925.03236
1965,1969,212018968.915967
1966,1970,204433428.837435
1967,1971,255428291.123936
1968,1972,198909723.197148
1969,1973,214861227.8
1970,1974,221297772.98
1971,1975,230232310.76
1972,1976,213915913.76
1973,1977,220088423.06
1974,1978,222549301.22
1975,1979,232896101.5
1976,1980,237436565.16
1977,1981,245968139.38
1978,1982,237632071.74
1979,1983,230229323.96
1980,1984,216878700.2
1981,1985,224832511.32
1982,1986,221381173.58
1983,1987,237182714.24
1984,1988,266561938.86
1985,1989,289640724.12
1986,1990,287227783.84
1987,1991,291665916.48
1988,1992,282425767.36
1989,1993,256215321.58
1990,1994,238965499.4
1991,1995,221036700.56
1992,1996,217880569.14
1993,1997,213645071.3
1994,1998,206820467.62
1995,1999,195303713.18
1996,2000,199354433.02
1997,2001,203646901.54
1998,2002,213665828.06
1999,2003,225644131.1
2000,2004,245871159.82
2001,2005,252135314.78
2002,2006,257300433.8
2003,2007,262569623.08
2004,2008,265034741.84
2005,2009,262714045.82
2006,2010,262673978.58
2007,2011,263416217.24
2008,2012,264015605.42
2009,2013,270240058.22
2010,2014,276932850.4
2011,2015,280494027.16
2012,2016,278760590.1
2013,2017,280764268.1
2014,2018,276306137.72
2015,2019,270787111.36
2016,2020,274058210.98
2017,2021,278791381.22
2018,2022,278311657.325
2019,2023,282427661.666667
2020,2024,292939568.55
2021,2025,282971951.5
