T1,T2,T3,,,,,
-2.58E-06,-0.014666219,-0.014040796,,,,,
0.000697554,-0.002928737,-0.002893134,,,,,
-0.001981099,0.000683393,0.001494799,,,,,
-0.001996131,0.023232581,0.023088178,,,,,
-0.000235422,0.001687159,0.000979064,,,,,
-0.000114715,0.019048203,0.018640823,,,,,
-0.001013626,0.001277858,0.001876483,,,,,
-0.001383372,-0.019260126,-0.019378543,,,,,
-0.000788131,-0.009246078,-0.009468324,,,,,
-0.001006102,-0.014119977,-0.013630851,,,,,
0.000134873,-0.00137323,-0.001004632,,,,,
-7.65E-05,-0.025607923,-0.025297554,,,,,
-0.002539709,0.009052022,0.009006921,,,,,
-0.002060469,-0.008248531,-0.008198509,,,,,
-0.000224543,-0.016478177,-0.017650536,,,,,
0.003634009,0.015351513,0.014925272,,,,,
-2.54E-06,0.008489677,0.008862674,,,,,
0.00194196,-0.006507941,-0.007066359,,,,,
-0.002242989,-0.003976948,-0.003902261,,,,,
0.000408326,-0.002623122,-0.003249207,,,,,
3.44E-06,-2.85E-05,-9.89E-05,,,,,
-7.74E-06,0.009097355,0.007073884,,,,,
1.56E-05,0.004885753,0.005587461,,,,,
-0.00038538,-0.008550627,-0.006785552,,,,,
-0.002231425,0.002776748,0.001558734,,,,,
-0.001023305,-0.014103985,-0.013764937,,,,,
0.000838352,-0.004487263,-0.004900415,,,,,
1.85E-05,-0.005173433,-0.005946547,,,,,
-0.000232549,-0.004559477,-0.005376601,,,,,
-0.001559126,0.005322684,0.006182621,,,,,
1.17E-07,-0.004386284,-0.004134434,,,,,
-0.001921814,-0.011308351,-0.010379847,,,,,
-6.07E-08,-0.001453239,-0.001412083,,,,,
-5.10E-06,0.00206683,0.000293478,,,,,
-0.001404317,0.008725455,0.008449016,,,,,
-0.001895848,-0.006542964,-0.006109892,,,,,
-0.000981087,0.002224471,0.003287428,,,,,
0.003202177,0.011530839,0.010663856,,,,,
0.001165925,0.002478172,0.002768764,,,,,
0.003109095,0.001610772,0.001681498,,,,,
-3.93E-05,0.002573288,0.002490626,,,,,
-0.001222696,-0.005091332,-0.00430595,,,,,
0.001295817,0.003547574,0.002084242,,,,,
-5.92E-06,-0.003490543,-0.003834828,,,,,
0.001544956,0.01613378,0.016171578,,,,,
0.003525258,-0.018331949,-0.016976163,,,,,
-3.70E-05,-0.00367125,-0.003593183,,,,,
0.002050421,-0.012209871,-0.011131902,,,,,
-1.60E-05,-0.010719974,-0.00995978,,,,,
-0.002083089,-0.005843023,-0.005985546,,,,,
-0.001557488,-0.001918635,-0.000576374,,,,,
2.33E-06,0.011685144,0.011977014,,,,,
-0.000958761,-0.002005451,-0.001693104,,,,,
2.75E-08,-0.004777921,-0.004697028,,,,,
0.001493522,0.011073027,0.012267262,,,,,
1.21E-06,0.004383052,0.00432528,,,,,
-0.000224192,0.007719476,0.006962296,,,,,
0.002231569,0.011692943,0.011707673,,,,,
0.003334966,0.000860334,0.00134384,,,,,
-0.000718395,-0.021786351,-0.02264621,,,,,
-0.000429155,0.003825968,0.003338481,,,,,
-0.002453301,0.005339491,0.005388157,,,,,
-0.000216302,0.003681972,0.004207099,,,,,
-0.000463673,-0.001765762,-0.001992619,,,,,
1.18E-07,0.013547243,0.012831788,,,,,
-0.001296431,0.015616588,0.015974914,,,,,
0.002143769,-4.63E-05,-0.00014499,,,,,
-0.001010259,0.002929561,0.003447794,,,,,
-0.001007638,0.002297213,0.001419219,,,,,
-0.016806142,-0.005860168,-0.005098936,,,,,
-0.000117814,-0.004143727,-0.004383024,,,,,
-0.001186395,0.001230201,0.00041819,,,,,
0.00042256,0.028035092,0.02794026,,,,,
-3.41E-05,0.015692261,0.016387929,,,,,
0.001272855,-5.38E-05,0.000283975,,,,,
-0.001516122,-0.010399252,-0.010306672,,,,,
5.66E-05,-0.013675806,-0.013729402,,,,,
-0.001006612,0.015939749,0.016063923,,,,,
4.06E-05,-0.010100595,-0.008980159,,,,,
0.00048718,0.030269358,0.030064547,,,,,
-3.11E-07,0.006762513,0.006898604,,,,,
-0.00225767,-0.017160676,-0.017333844,,,,,
1.76E-06,-0.008755947,-0.008702593,,,,,
-0.002780353,0.009261458,0.009322652,,,,,
-0.002789953,-0.009231605,-0.009638738,,,,,
-7.28E-05,-0.01051283,-0.010157636,,,,,
0.000293772,0.009691824,0.009043174,,,,,
-7.64E-06,-0.010968099,-0.011494855,,,,,
0.001580667,-0.009088665,-0.00840433,,,,,
-0.001701782,-0.001311873,-0.001663605,,,,,
-3.80E-08,-0.01232861,-0.010879006,,,,,
-0.00098511,-0.001625871,-0.001830779,,,,,
-0.001226395,-0.008648825,-0.007507467,,,,,
-0.000100169,-0.001814302,-0.001168996,,,,,
-0.001712988,0.002231803,0.002473154,,,,,
-0.000774173,-0.007109636,-0.006646135,,,,,
-0.000810873,-0.009686095,-0.008711267,,,,,
-0.000798807,0.004004082,0.004158159,,,,,
-0.000217592,0.001725402,0.002767805,,,,,
0.001397184,0.008204912,0.008066563,,,,,
