T1,T2,T3,,,,
1.51E-06,-0.011480719,-0.007838414,,,,
-2.71E-08,-0.001183705,-0.000844497,,,,
5.75E-06,-0.010023405,-0.007479288,,,,
4.06E-07,-0.005227589,-0.003815862,,,,
6.29E-07,-0.011749254,-0.008020679,,,,
-2.18E-07,-0.00108816,-0.000764011,,,,
3.58E-07,-0.002799777,-0.001915262,,,,
6.97E-07,-0.002303211,-0.001782347,,,,
1.67E-08,-0.002806114,-0.001938332,,,,
-7.84E-07,-0.014834562,-0.009858338,,,,
1.77E-07,0.000338279,0.000366402,,,,
-1.96E-08,-0.002519378,-0.001688155,,,,
1.20E-07,-0.002381339,-0.001757505,,,,
-2.28E-06,-0.002088214,-6.77E-05,,,,
1.36E-05,0.004830335,0.004477983,,,,
5.71E-09,-0.005101534,-0.003702016,,,,
-4.85E-06,-0.001363876,-0.00086094,,,,
5.75E-07,-0.00269298,-0.001907011,,,,
4.17E-07,-0.003538025,-0.002457632,,,,
1.53E-06,-0.003891736,-0.002977552,,,,
-7.47E-09,-0.004395254,-0.003108808,,,,
5.07E-10,-0.008334416,-0.005888822,,,,
1.87E-08,-0.002993769,-0.002092427,,,,
9.05E-08,-0.01570561,-0.010761126,,,,
2.86E-05,-0.007280603,-0.004808122,,,,
-0.000105206,0.005314631,0.002995984,,,,
3.72E-08,-0.002617267,-0.002112776,,,,
-2.63E-07,-0.002543328,-0.001710501,,,,
-3.56E-06,-0.004303066,-0.003605013,,,,
5.97E-05,-0.003844566,-0.002999075,,,,
1.39E-08,0.001192017,0.000905124,,,,
1.94E-11,1.99E-05,1.44E-05,,,,
6.61E-07,-0.004303105,-0.003417508,,,,
1.87E-07,-0.003503081,-0.002906466,,,,
1.34E-05,0.002708656,0.001542825,,,,
7.12E-08,0.003037398,0.002504608,,,,
2.55E-05,-0.012230674,-0.009888286,,,,
4.54E-07,0.000203276,0.000141318,,,,
4.75E-08,-0.000809341,-0.000460584,,,,
3.38E-07,-0.005081287,-0.003763025,,,,
4.31E-09,-0.00011427,-0.000324255,,,,
-1.12E-06,-0.002868889,-0.00202034,,,,
-8.04E-05,-0.004314238,-0.00371937,,,,
-1.72E-07,-0.003952968,-0.002824381,,,,
-1.39E-08,-0.004955494,-0.003600669,,,,
-5.43E-05,0.008361159,0.006974492,,,,
-2.99E-06,-0.001654867,-0.001150276,,,,
4.61E-06,-0.003549079,-0.002612274,,,,
-7.55E-08,-0.000761156,-0.000544939,,,,
0.000174264,-0.004661186,-0.00549398,,,,
-1.43E-07,0.000864777,0.000232842,,,,
3.09E-05,0.000681485,0.000580371,,,,
-7.51E-08,-0.00138634,-0.000840973,,,,
-1.87E-06,-0.002908653,-0.002070245,,,,
6.89E-08,-0.002109645,-0.0009836,,,,
1.32E-07,-0.002510719,-0.00203835,,,,
6.09E-07,-0.005312357,-0.003689784,,,,
2.80E-05,-0.010795998,-0.008349668,,,,
1.22E-09,0.000505993,-8.28E-05,,,,
7.74E-08,-0.003830007,-0.003034556,,,,
-5.29E-07,-0.001924545,-0.00159799,,,,
8.08E-08,-0.004558769,-0.003168101,,,,
3.35E-07,-0.003720452,-0.003318965,,,,
7.92E-09,-0.001877961,-0.001016065,,,,
9.69E-08,-0.000325419,-0.000212143,,,,
-9.46E-07,-0.001002013,-0.000732398,,,,
6.36E-07,-0.001404986,-0.000949279,,,,
3.55E-09,-0.00065538,-0.000379487,,,,
-5.18E-07,-0.001058158,-0.000942273,,,,
5.06E-07,-0.002710987,-0.002124184,,,,
-7.00E-07,-0.003333366,-0.002646757,,,,
1.20E-07,-0.001441513,-0.000942164,,,,
4.67E-08,-0.002947479,-0.002211108,,,,
-1.55E-06,-0.000293057,0.000421908,,,,
-2.43E-06,-0.001180918,-0.000696575,,,,
-1.46E-07,-0.003278208,-0.002327547,,,,
1.71E-08,-0.00303702,-0.002227311,,,,
9.08E-07,-0.002937529,-0.002381655,,,,
1.13E-06,-0.000594017,-0.000454421,,,,
-1.31E-07,0.004100772,0.003122979,,,,
5.83E-08,-0.001781511,-0.001452654,,,,
2.69E-08,-0.002906701,-0.002154271,,,,
3.21E-08,-0.001734177,-0.001102167,,,,
1.47E-05,-0.001672392,-0.001711219,,,,
1.65E-07,-0.004439053,-0.00336621,,,,
-1.29E-05,-0.000741442,-0.00106056,,,,
-4.71E-06,-0.001690648,-0.001230612,,,,
2.48E-07,-0.00102889,-0.000726786,,,,
-4.17E-08,-0.014478085,-0.010120636,,,,
2.11E-06,-0.009920963,-0.006947304,,,,
1.05E-05,-0.0018515,-0.001808479,,,,
9.74E-06,-0.004001604,-0.003195492,,,,
4.58E-07,-0.000972615,-0.000149797,,,,
-3.77E-07,-0.002535911,-0.001876348,,,,
-1.70E-06,-0.004895847,-0.00308012,,,,
6.14E-07,-0.001421831,-0.000929001,,,,
0.000128884,-0.002647643,-0.001547472,,,,
-1.93E-07,-0.007832235,-0.006033255,,,,
-2.02E-05,-0.007938881,-0.005369852,,,,
1.20E-07,-0.003412892,-0.003066755,,,,
