T1,T2,T3,,,,,
3.51E-05,-0.006277203,-0.003894722,,,,,
1.54E-06,-0.007811366,-0.007507199,,,,,
3.26E-07,0.007149581,-0.006217954,,,,,
7.64E-07,-0.007321595,-0.006001299,,,,,
-9.71E-07,-0.00732397,-0.006750964,,,,,
-7.04E-05,-0.001404113,-0.004034164,,,,,
1.59E-07,-0.007466258,-0.007068353,,,,,
-5.69E-06,-0.008670669,-0.007952171,,,,,
-1.78E-06,-0.00506475,-0.004402212,,,,,
7.18E-07,-0.002667867,-0.005667918,,,,,
-3.38E-06,-0.002445302,-0.004273032,,,,,
-4.70E-06,-0.006313552,-0.006263062,,,,,
2.65E-07,0.008344646,-0.006225843,,,,,
8.52E-08,-0.003408406,-0.003997932,,,,,
2.77E-05,-0.016086204,-0.001546246,,,,,
1.05E-05,0.000472969,-0.001936551,,,,,
5.17E-07,-0.004613792,-0.00350032,,,,,
8.04E-08,-0.005916391,-0.004058191,,,,,
2.03E-05,-0.001001764,-0.001414771,,,,,
-4.87E-07,0.005654807,-0.001763944,,,,,
-0.000118936,0.000952682,4.47E-05,,,,,
-1.02E-06,-0.002003131,-0.00203048,,,,,
4.50E-06,-0.005006477,-0.002635156,,,,,
-3.20E-06,-0.001067237,-8.68E-05,,,,,
1.06E-08,-0.007038113,-0.006125773,,,,,
3.14E-09,-0.001020673,-0.000828871,,,,,
8.34E-06,0.005473069,-0.005228013,,,,,
1.17E-05,-0.007038397,-0.004887366,,,,,
6.04E-07,-0.007156743,-0.00648277,,,,,
1.08E-08,-0.002207255,-0.001161931,,,,,
-5.07E-09,0.000560139,0.000378726,,,,,
-8.24E-05,0.007210873,0.00148479,,,,,
-7.68E-06,-0.003137703,-0.002202078,,,,,
8.22E-06,-0.010634449,-0.009251324,,,,,
3.05E-07,-0.008692693,-0.007364583,,,,,
6.28E-09,-0.005063717,-0.006978113,,,,,
1.74E-07,-0.003718648,-0.008775774,,,,,
-3.35E-07,-0.004614551,-0.007165153,,,,,
1.63E-05,0.006965281,-0.003106685,,,,,
1.26E-07,-0.005390647,-0.004081143,,,,,
5.74E-08,-0.007391082,-0.00689218,,,,,
3.57E-06,-0.008289587,-0.006628306,,,,,
1.76E-09,-0.00433982,-0.003789953,,,,,
5.59E-06,-0.005125534,-0.002290926,,,,,
-2.45E-07,-0.011400261,-0.00613782,,,,,
4.87E-08,-0.005436508,-0.003676438,,,,,
-7.64E-05,-0.002542727,-0.002713195,,,,,
1.16E-07,-0.003685778,-0.003318124,,,,,
8.63E-07,-0.00885969,-0.006323435,,,,,
2.93E-06,-0.002746225,-0.002708239,,,,,
-1.15E-06,-0.005889382,-0.005102988,,,,,
-0.00013599,-0.000683398,0.00073113,,,,,
5.00E-07,-0.00250597,-0.001565187,,,,,
-5.56E-07,-0.007972306,-0.001297811,,,,,
-1.60E-07,-0.005569775,-0.003518162,,,,,
-1.43E-06,-0.011212542,-0.009474819,,,,,
3.49E-06,0.001104855,-0.005005987,,,,,
-9.02E-06,-0.00821784,-0.00093682,,,,,
3.95E-08,-0.001627013,-0.001767313,,,,,
1.61E-07,-0.004334321,-0.004145572,,,,,
-6.68E-06,-0.004196879,-0.001921418,,,,,
-3.05E-07,-0.000788372,-0.001540439,,,,,
-4.92E-06,0.009827835,0.001226583,,,,,
-2.02E-05,-0.004752048,-0.004125107,,,,,
-2.05E-05,-0.005683151,-0.00338269,,,,,
-3.01E-09,-0.001589973,-0.001958395,,,,,
-0.000259855,-0.003852023,-0.008225791,,,,,
-9.65E-07,-0.002599219,-0.006471214,,,,,
6.62E-06,-0.003911989,-0.006977158,,,,,
7.73E-06,-0.003900089,-0.004809463,,,,,
-1.02E-06,-0.002003131,-0.00203048,,,,,
-5.07E-08,-0.010481705,-0.008145187,,,,,
5.98E-07,-0.001547096,-0.002592672,,,,,
-0.000278798,-0.00565588,-0.005042284,,,,,
5.30E-06,-0.004729445,-0.00207109,,,,,
-2.63E-08,-0.000457883,-0.004089574,,,,,
1.48E-05,-0.006415147,-0.004777175,,,,,
4.80E-05,-0.016600571,-0.012729636,,,,,
-2.66E-07,-0.006620352,-0.006938788,,,,,
-2.05E-05,-0.005683151,-0.00338269,,,,,
2.65E-08,-0.002404549,-0.00187333,,,,,
-2.92E-07,-0.00352017,-0.005135431,,,,,
-1.12E-07,0.000835241,0.001205015,,,,,
9.69E-06,-0.007683687,-0.00783176,,,,,
4.10E-07,-0.005895781,-0.004873424,,,,,
2.64E-05,-0.014395086,-0.00567216,,,,,
-1.17E-06,-0.011641713,-0.009552019,,,,,
1.39E-08,-0.006719552,-0.005791576,,,,,
-1.12E-07,0.000835241,0.001205015,,,,,
1.26E-07,-0.005383298,-0.00453711,,,,,
0.000590582,-0.000648956,-0.001688209,,,,,
6.34E-05,-0.008845401,-0.004715417,,,,,
-1.12E-07,0.000835241,0.001205015,,,,,
2.14E-07,-0.0102131,-0.008629666,,,,,
-6.02E-06,-0.010415941,-0.007985954,,,,,
-1.73E-06,0.004613604,-0.001988758,,,,,
-4.92E-06,0.009827835,0.001226583,,,,,
4.48E-06,-0.005310144,-0.007601444,,,,,
1.08E-06,-0.002623356,-0.005794077,,,,,
6.02E-05,-0.013041593,-0.008773266,,,,,
