year1,year2,size
1915,1919,508518600804.56
1916,1920,524369786088.662
1917,1921,518182653484.013
1918,1922,501728600470.84
1919,1923,518432792141.259
1920,1924,522889042766.42
1921,1925,521460124699.676
1922,1926,542461504005.522
1923,1927,509081340789.854
1924,1928,485978548279.987
1925,1929,507647799353.945
1926,1930,497353225702.447
1927,1931,486589802036.628
1928,1932,492610168181.838
1929,1933,507004139339.435
1930,1934,498903777095.344
1931,1935,506359306031.596
1932,1936,478908493785.014
1933,1937,519851157961.753
1934,1938,518140062680.526
1935,1939,463962705900.797
1936,1940,465083239914.371
1937,1941,471467078136.976
1938,1942,466428697835.807
1939,1943,478192458559.737
1940,1944,458785423046.872
1941,1945,455112540141.625
1942,1946,454030449268.735
1943,1947,465104784995.895
1944,1948,462825326904.472
1945,1949,448965666146.616
1946,1950,465073959088.905
1947,1951,449783648231.759
1948,1952,441807528438.336
1949,1953,402019011184.377
1950,1954,422192789141.134
1951,1955,443470119140.287
1952,1956,409242200612.91
1953,1957,422884634738.888
1954,1958,408522472376.518
1955,1959,437204859126.849
1956,1960,403276522610.237
1957,1961,439647813874.142
1958,1962,420716804725.159
1959,1963,382059689660.149
1960,1964,396055399697.9
1961,1965,410058847079.892
1962,1966,395387980581.073
1963,1967,405940717809.718
1964,1968,389646429551.961
1965,1969,386687553338.993
1966,1970,382674696959.392
1967,1971,412924221897.33
1968,1972,372559093400.42
1969,1973,386153000000
1970,1974,379036600000
1971,1975,373721800000
1972,1976,366573400000
1973,1977,359652400000
1974,1978,358248200000
1975,1979,357555600000
1976,1980,370119200000
1977,1981,376612200000
1978,1982,366219800000
1979,1983,365276800000
1980,1984,355714200000
1981,1985,340811800000
1982,1986,342142000000
1983,1987,341699200000
1984,1988,331852600000
1985,1989,336000000000
1986,1990,334461600000
1987,1991,323501800000
1988,1992,327044400000
1989,1993,328349600000
1990,1994,327741400000
1991,1995,328096800000
1992,1996,326116600000
1993,1997,323194600000
1994,1998,318408600000
1995,1999,313030400000
1996,2000,307067400000
1997,2001,300682200000
1998,2002,295287600000
1999,2003,287376200000
2000,2004,275536600000
2001,2005,267512800000
2002,2006,261507400000
2003,2007,251144000000
2004,2008,248532600000
2005,2009,251623400000
2006,2010,250878000000
2007,2011,249839600000
2008,2012,252998400000
2009,2013,252390000000
2010,2014,252051600000
2011,2015,249728000000
2012,2016,247034000000
2013,2017,246784600000
2014,2018,246908600000
2015,2019,246883800000
2016,2020,254363800000
2017,2021,258903600000
2018,2022,261873500000
2019,2023,265814000000
2020,2024,271224000000
2021,2025,262783000000
