year1,year2,size
1915,1919,33851569616.4552
1916,1920,30849197823.4966
1917,1921,32664957727.7317
1918,1922,33354237273.0855
1919,1923,32561649099.8423
1920,1924,33526354129.5629
1921,1925,33138170279.6398
1922,1926,30180502984.6721
1923,1927,31392966461.4348
1924,1928,29175940383.5806
1925,1929,28298623225.0982
1926,1930,31687484150.3577
1927,1931,29920252455.3567
1928,1932,29567166086.1684
1929,1933,30874060584.1802
1930,1934,30095702113.4567
1931,1935,29434664113.1987
1932,1936,30634261155.0458
1933,1937,29849532415.6338
1934,1938,28463960476.48
1935,1939,26688033477.3874
1936,1940,26487409851.5669
1937,1941,29221134298.2118
1938,1942,24398743307.9197
1939,1943,26715792544.245
1940,1944,23323381822.0262
1941,1945,27887268834.5936
1942,1946,27365401872.0447
1943,1947,25702583015.1045
1944,1948,25321808159.045
1945,1949,21131022598.9891
1946,1950,25854419979.345
1947,1951,21081331839.7091
1948,1952,20611387416.9984
1949,1953,24248346917.9514
1950,1954,22312618072.335
1951,1955,24259962224.9112
1952,1956,24427877772.0247
1953,1957,24458034084.6313
1954,1958,21676106240.3677
1955,1959,23266690028.7073
1956,1960,22435979186.5766
1957,1961,23351687226.3162
1958,1962,22616625251.1499
1959,1963,22941015948.9086
1960,1964,21002992103.5239
1961,1965,20714458983.0217
1962,1966,22328516464.2058
1963,1967,16973676749.803
1964,1968,19342265288.1317
1965,1969,17833160969.7088
1966,1970,19013182543.1275
1967,1971,20426109221.2748
1968,1972,20450238879.7381
1969,1973,20313754438.6
1970,1974,19169806806.4
1971,1975,19134723652.8
1972,1976,17110374858.4
1973,1977,17391723612.2
1974,1978,18181248399.6
1975,1979,19081419516.4
1976,1980,17004299699.6
1977,1981,17105099012
1978,1982,15641917578.6
1979,1983,16910377936.2
1980,1984,16180097461.2
1981,1985,17473905149.8
1982,1986,16770394528.8
1983,1987,16800786429.2
1984,1988,14904971801.6
1985,1989,14206328044
1986,1990,12889288689.4
1987,1991,12874911739.2
1988,1992,12932335732.4
1989,1993,12682335148.6
1990,1994,12986042038.6
1991,1995,13192900092.6
1992,1996,13455042967.8
1993,1997,13372673985.6
1994,1998,13087914905.8
1995,1999,12310505554
1996,2000,12196662238.2
1997,2001,11860961035.8
1998,2002,11392190307.2
1999,2003,10896637531.8
2000,2004,10295195632.6
2001,2005,9462611169
2002,2006,8695841956
2003,2007,7904485917
2004,2008,7352622006.8
2005,2009,6938943587
2006,2010,6521577749.8
2007,2011,6133741192
2008,2012,5987316812.8
2009,2013,5832618181
2010,2014,5846682302.4
2011,2015,5951568844.6
2012,2016,6072857817.6
2013,2017,6284761399.2
2014,2018,6774183159
2015,2019,7232033051.8
2016,2020,7722035267.4
2017,2021,8357512684.2
2018,2022,8730542567.5
2019,2023,8973268514.66667
2020,2024,9199116556
2021,2025,9550579453
