muN,mu1,mu2,alpha1,alpha2,beta1,beta2
7.75962898171317e-05,5.13062091871534e-05,0.00039042880676002,3.32842915596902,6.97180570460029,3.1883080935833,6.41958081711263
7.76101858132975e-05,4.32520106815897e-05,0.00113041520414676,3.62154149754287,4.9903075747129,3.47206363316553,4.62794848029795
7.76105177044844e-05,2.35355810157855e-05,0.00109521233568913,7.56607256138618,2.42164900652506,7.43051741194751,1.90802946138726
7.76105177044844e-05,2.35355810157855e-05,0.00109521233568913,7.56607256138618,2.42164900652506,7.43051741194751,1.90802946138726
7.76095938409528e-05,5.06172250086003e-05,0.00191372832339649,3.13836737464916,2.90482683137357,2.99041300898068,2.71742950561321
7.76095938409528e-05,5.06172250086003e-05,0.00191372832339649,3.13836737464916,2.90482683137357,2.99041300898068,2.71742950561321
7.76095939591946e-05,2.42133669171259e-05,0.000354356862053932,5.60426028680864,8.24011993823427,5.44211140022422,7.51301750443675
7.76095939591946e-05,2.42133669171259e-05,0.000354356862053932,5.60426028680864,8.24011993823427,5.44211140022422,7.51301750443675
7.7609831123473e-05,1.53038225492529e-05,0.00261920790598206,7.85894828624617,3.26172660797773,7.68741802737092,2.91524690980638
5.25061621847867e-05,6.09004976357717e-05,0.00128441382557397,1.80991776368662,6.43172828159653,1.63385734829396,6.22827885587351
5.25061621847867e-05,6.09004976357717e-05,0.00128441382557397,1.80991776368662,6.43172828159653,1.63385734829396,6.22827885587351
7.76109855680098e-05,2.50580625766156e-05,0.00109484237423967,7.1823514441318,2.42114661631173,7.04841576630044,1.92217022158111
7.76109855680098e-05,2.50580625766156e-05,0.00109484237423967,7.1823514441318,2.42114661631173,7.04841576630044,1.92217022158111
7.76100512514813e-05,4.62002400874211e-05,0.00115750106992466,3.35415950720542,5.12392290445224,3.20367356023653,4.79042805202082
7.76091805616716e-05,1.8021532193638e-05,0.00184387272387926,6.03468899603818,5.08947629896683,5.85597398570034,4.73363538461791
7.76091805616716e-05,1.8021532193638e-05,0.00184387272387926,6.03468899603818,5.08947629896683,5.85597398570034,4.73363538461791
7.50083206357365e-06,1.9036938678102e-05,0.00326251741876916,3.29823852102049,2.33355856151193,3.08563137129471,1.59344220683682
7.50083206357365e-06,1.9036938678102e-05,0.00326251741876916,3.29823852102049,2.33355856151193,3.08563137129471,1.59344220683682
7.76100658437774e-05,1.57047876438681e-05,0.00209533958581152,6.45916340510828,4.83913057720629,6.27577962520946,4.5045234629116
7.76100658437774e-05,1.57047876438681e-05,0.00209533958581152,6.45916340510828,4.83913057720629,6.27577962520946,4.5045234629116
7.76087654438326e-05,3.28921903149155e-05,0.0012238067500088,4.74353519244202,4.25575822649474,4.59370754499458,3.84513233586004
7.76084598951329e-05,3.27180249840025e-05,0.00129855151376257,4.10476571899651,5.65984533316423,3.94179387511164,5.30486869304721
7.76084598951329e-05,3.27180249840025e-05,0.00129855151376257,4.10476571899651,5.65984533316423,3.94179387511164,5.30486869304721
7.76084598951329e-05,3.27180249840025e-05,0.00129855151376257,4.10476571899651,5.65984533316423,3.94179387511164,5.30486869304721
7.76127730191199e-05,2.96727969619184e-05,0.00310773590844538,5.42845033376618,1.79968193110487,5.28225191583351,1.5851368001405
7.76127730191199e-05,2.96727969619184e-05,0.00310773590844538,5.42845033376618,1.79968193110487,5.28225191583351,1.5851368001405
7.76127730191199e-05,2.96727969619184e-05,0.00310773590844538,5.42845033376618,1.79968193110487,5.28225191583351,1.5851368001405
7.76085990473586e-05,4.94340304975355e-05,0.00280322957123925,3.71531684471824,1.31883893038452,3.58430463084898,1.16151458775317
7.76090178389592e-05,1.72976547392336e-05,0.00167682734661387,6.86859185096861,4.70192464859914,6.69621002482505,4.27246879343357
7.76076882183622e-05,1.82688407406366e-05,0.0022570043480141,5.46498081867357,4.55972418231688,5.28050757249503,4.30672898803216
7.76076882183622e-05,1.82688407406366e-05,0.0022570043480141,5.46498081867357,4.55972418231688,5.28050757249503,4.30672898803216
7.76079647696208e-05,1.70300615018624e-05,0.0029032603287059,6.25620036380472,3.28377388776804,6.07607297676973,3.05935135770072
7.76076854649396e-05,4.31451524455804e-05,0.000579200023583853,4.04360633656099,4.96815979471842,3.90623612997421,4.45763236891195
7.76092674521704e-05,2.28589723516578e-05,0.00253336017774887,6.70709037971987,2.41673479063264,6.55547644096805,2.09469514358657
7.76092674521704e-05,2.28589723516578e-05,0.00253336017774887,6.70709037971987,2.41673479063264,6.55547644096805,2.09469514358657
7.76092674521704e-05,2.28589723516578e-05,0.00253336017774887,6.70709037971987,2.41673479063264,6.55547644096805,2.09469514358657
7.76075501164619e-05,1.34803764286723e-05,0.00271662626019762,8.65515638396277,3.20438483660603,8.48138725149955,2.84020023869429
